generation,count,is_initialized,f_proxy_scalar,g_al_proxy,lam,mu,al_pen_proxy,g_al_min,g_al_max,g_al_std,n_feasible_parents,pen_to_f_ratio,n_proxy_set,proxy_front_only,proxy_g_quantile
264,27,True,0.7486357414285715,[-26.5210608029397],[0.0],[8.047211482318561e-05],0.0,-75.11249955499943,12.174856745946272,22.27686333497532,24,0.05898524283391025,12,True,0.75
265,28,True,0.7486357414285715,[-26.5210608029397],[0.0],[8.047211482318561e-05],0.0,-75.11249955499943,12.174856745946272,22.663233365113594,24,0.05898524283391025,12,True,0.75
266,29,True,0.7485843415384615,[0.43661579203126166],[7.027079229991163e-06],[8.637124108414558e-05],1.1300753273002226e-05,-75.11249955499943,13.621515603862917,24.89661750894426,24,1.715869339502318e-05,13,True,0.75
267,30,True,0.7439603093333333,[-17.65659888703135],[0.0],[8.637124108414558e-05],0.0,-75.11249955499943,13.621515603862917,24.84686232737824,24,0.028060760474336453,15,True,0.75
268,31,True,0.7428669346428572,[-26.581775944147353],[0.0],[8.637124108414558e-05],0.0,-73.33896737001214,13.621515603862917,24.1201193706935,24,0.06359944424328959,16,True,0.75
269,32,True,0.7450340540952382,[-17.65659888703135],[0.0],[8.637124108414558e-05],0.0,-73.33896737001214,12.174856745946272,23.994565990645395,24,0.02811211736548439,15,True,0.75
270,33,True,0.7458838395918368,[-8.731421829915348],[0.0],[8.637124108414558e-05],0.0,-61.099290780129195,12.174856745946272,22.475459835263567,24,0.006874631055935251,14,True,0.75
271,34,True,0.7455546640816326,[-35.878929222829925],[0.0],[8.637124108414558e-05],0.0,-61.099290780129195,11.571726293818301,21.61202741650174,24,0.11664146947459116,14,True,0.75
272,35,True,0.7435895874285714,[-36.250905444396494],[0.0],[8.637124108414558e-05],0.0,-61.099290780129195,11.571726293818301,21.58810442922688,24,0.119072576906257,15,True,0.75
273,36,True,0.7435895874285714,[-36.250905444396494],[0.0],[8.637124108414558e-05],0.0,-61.099290780129195,11.571726293818301,21.601127451585597,24,0.119072576906257,15,True,0.75
274,37,True,0.7435895874285714,[-36.250905444396494],[0.0],[8.637124108414558e-05],0.0,-85.53593744420641,11.571726293818301,23.186312871318744,24,0.119072576906257,15,True,0.75
275,38,True,0.7539410947899161,[-35.506953001263355],[0.0],[8.637124108414558e-05],0.0,-85.53593744420641,11.571726293818301,22.582989084044055,24,0.11385592206608039,17,True,0.75
276,39,True,0.7539410947899161,[-35.506953001263355],[0.0],[8.637124108414558e-05],0.0,-85.53593744420641,11.571726293818301,22.6136812857685,24,0.11385592206608039,17,True,0.75
277,40,True,0.7539410947899161,[-35.506953001263355],[0.0],[8.637124108414558e-05],0.0,-85.53593744420641,11.571726293818301,22.499627625051602,24,0.11385592206608039,17,True,0.75
278,41,True,0.7539410947899161,[-35.506953001263355],[0.0],[8.637124108414558e-05],0.0,-85.53593744420641,11.571726293818301,22.499627625051602,24,0.11385592206608039,17,True,0.75
279,42,True,0.7538828023529414,[-35.506953001263355],[0.0],[8.637124108414558e-05],0.0,-85.53593744420641,11.571726293818301,23.176719603063813,24,0.11385592206608039,17,True,0.75
