generation,count,is_initialized,f_proxy_scalar,g_al_proxy,lam,mu,al_pen_proxy,g_al_min,g_al_max,g_al_std,n_feasible_parents,pen_to_f_ratio,n_proxy_set,proxy_front_only,proxy_g_quantile,proxy_front_min_size
250,19,True,0.735160074345238,[-96.52542482394382],[0.0],[8.656000642204031e-06],0.0,-122.84816646951404,-46.034549183310816,20.830116998740433,24,0.0863002293586243,24,False,,
251,20,True,0.7361841381547619,[-73.15837149059331],[0.0],[8.656000642204031e-06],0.0,-99.61483313618055,-22.801215849977325,20.800954121181054,24,0.04957429713844031,24,False,,
252,21,True,0.7361841381547619,[-73.15837149059331],[0.0],[8.656000642204031e-06],0.0,-99.61483313618055,-22.801215849977325,20.800954121181054,24,0.04957429713844031,24,False,,
253,22,True,0.7347097786309523,[-72.05984556320264],[0.0],[8.656000642204031e-06],0.0,-99.61483313618055,-22.801215849977325,22.390950491636396,24,0.04809668680900647,24,False,,
254,23,True,0.7343546116071429,[-71.94462573247169],[0.0],[8.656000642204031e-06],0.0,-99.61483313618055,-22.801215849977325,22.68951054525943,24,0.047943001725858005,24,False,,
255,24,True,0.7275145602976189,[-74.54017380873466],[0.0],[8.656000642204031e-06],0.0,-99.61483313618055,-22.801215849977325,20.516276274956738,24,0.05146468378735674,24,False,,
256,25,True,0.7263118164523812,[-74.56212310154848],[0.0],[8.656000642204031e-06],0.0,-99.61483313618055,-22.801215849977325,20.493036856173497,24,0.0514949970981726,24,False,,
257,26,True,0.7255731847261906,[-74.085755465789],[0.0],[8.656000642204031e-06],0.0,-99.87184083168995,-22.801215849977325,22.207701439260457,24,0.05083910942306752,24,False,,
258,27,True,0.7257163674880952,[-73.52360461874855],[0.0],[8.656000642204031e-06],0.0,-99.87184083168995,-22.801215849977325,24.10444117166598,24,0.050070518460714926,24,False,,
259,28,True,0.7244269505833333,[-70.84946719914883],[0.0],[8.656000642204031e-06],0.0,-99.87184083168995,-22.801215849977325,24.79685531730085,24,0.04649451092958295,24,False,,
260,29,True,0.7244269505833333,[-70.84946719914883],[0.0],[8.656000642204031e-06],0.0,-99.87184083168995,-22.801215849977325,24.79685531730085,24,0.04649451092958295,24,False,,
261,30,True,0.7244269505833333,[-70.84946719914883],[0.0],[8.656000642204031e-06],0.0,-99.87184083168995,-22.801215849977325,24.79685531730085,24,0.04649451092958295,24,False,,
262,31,True,0.72374986725,[-72.92972887677594],[0.0],[8.656000642204031e-06],0.0,-99.87184083168995,-22.801215849977325,23.895258617458403,24,0.049264911233137865,24,False,,
263,32,True,0.7221870633214286,[-73.04901877090583],[0.0],[8.656000642204031e-06],0.0,-99.87184083168995,-22.801215849977325,23.966207436615758,24,0.04942620656306232,24,False,,
264,33,True,0.7212491659404762,[-73.00589401238209],[0.0],[8.656000642204031e-06],0.0,-99.87184083168995,-22.801215849977325,23.93900500482048,24,0.04936786590110206,24,False,,
265,34,True,0.7212491659404762,[-73.00589401238209],[0.0],[8.656000642204031e-06],0.0,-99.87184083168995,-22.801215849977325,23.93900500482048,24,0.04936786590110206,24,False,,
266,35,True,0.7201946768928572,[-75.57514025544266],[0.0],[8.656000642204031e-06],0.0,-99.87184083168995,-22.801215849977325,23.18907988330197,24,0.05290374668448513,24,False,,
267,36,True,0.7218333104880953,[-73.45385749832305],[0.0],[8.656000642204031e-06],0.0,-99.87184083168995,-22.801215849977325,24.429625910132664,24,0.049975566151161506,24,False,,
268,37,True,0.7199679746071429,[-73.46575036772447],[0.0],[8.656000642204031e-06],0.0,-99.87184083168995,-22.801215849977325,24.39531753331971,24,0.0499917504883059,24,False,,
269,38,True,0.7168222388928571,[-70.18546538274184],[0.0],[8.656000642204031e-06],0.0,-99.87184083168995,-21.593764882599316,26.09087730106309,24,0.04562710084057038,24,False,,
270,39,True,0.7150136338928572,[-68.56419529969946],[0.0],[8.656000642204031e-06],0.0,-99.87184083168995,-21.593764882599316,26.88395978521557,24,0.04354349385364466,24,False,,
271,40,True,0.7118819384166666,[-66.97491042724054],[0.0],[8.656000642204031e-06],0.0,-99.87184083168995,-21.593764882599316,27.939288438013275,24,0.04154825509784382,24,False,,
272,41,True,0.7122053874642856,[-66.42544353670496],[0.0],[8.656000642204031e-06],0.0,-99.87184083168995,-21.593764882599316,27.414184858506772,24,0.04086932194435634,24,False,,
273,42,True,0.721105598702381,[-67.54267163012834],[0.0],[8.656000642204031e-06],0.0,-99.87184083168995,-21.593764882599316,26.815179661122816,24,0.04224335369539187,24,False,,
274,43,True,0.7206225629880952,[-64.82573028750328],[0.0],[8.656000642204031e-06],0.0,-99.87184083168995,-21.593764882599316,26.79643094504417,24,0.0389131829034078,24,False,,
275,44,True,0.7206225629880952,[-64.82573028750328],[0.0],[8.656000642204031e-06],0.0,-99.87184083168995,-21.593764882599316,26.79643094504417,24,0.0389131829034078,24,False,,
